codigo,ean,stock,precio,promo,descripcion
12,8429420190986,1,67359.0,No Promo,ISDIN FOTOPROTECTOR ULTRA AGE REPARE WATER f uido x50ml
12,8429420226265,3,55630.0,No Promo,ISDIN FOTOPROTECTOR FUSION WATER COLOR LIGHT SPF 50+ 50ML
12,8429420251984,1,62015.0,No Promo,ISDIN FOTOPROTECTOR FPS50+ CREMA EN GEL 250M
12,8470001915528,1,37003.0,No Promo,ISDIN FORTALECEDOR DE U�AS
12,8710103917656,2,19999.0,No Promo,PHILIPS ONEBLADE CUCHILLA DE RECAMBIO PACK S MPLE QP210/51
12,8710103963905,1,22399.0,No Promo,AVENT NUEVO! CHUPETES SOOTHIE X2U 0-6M ROSA
12,8720689016063,2,19999.0,No Promo,PHILIPS ONEBLADE CUCHILLA DE RECAMBIO PACK S MPLE QP210/51
12,8904150127438,3,2000.0,2x1,LADDU BAR FRUTOS ROJOS 30GR
12,8906038782043,1,7599.0,No Promo,SRI SRI SUDANTA AYURVEDICA LIBRE DE FLUOR PA TA DENTAL 100GR
12,8906038788601,2,2000.0,2x1,LADDU BAR BROWNIE 30GR
12,8906038788649,4,2000.0,2x1,LADDU BAR COCO Y CHOCOLATE 30GR
