SKU,EAN,IMAGEN
P34989,7798336946392,open-farma.s3.amazonaws.com/products/43589/large/open-uri20221129-7-8jl7uj.?1669732112
P34990,7798336946408,open-farma.s3.amazonaws.com/products/43590/large/open-uri20221129-7-zkz1kd.?1669732129
P29250,7509552842869,open-farma.s3.amazonaws.com/products/54056/large/open-uri20240415-6-1s1mphe.?1713208241
P14505,614143070815,open-farma.s3.amazonaws.com/products/19655/large/open-uri20200511-2419-1nhwc5l.?1589207749
P34919,8011607350759,open-farma.s3.amazonaws.com/products/43634/large/open-uri20221201-7-hddcus.?1669907712
P34290,4210201338475,open-farma.s3.amazonaws.com/products/44881/large/4210201338475.jpg?1677849382
M405,7794066000021,open-farma.s3.amazonaws.com/products/20485/large/open-uri20200528-28662-i5qedk.?1590686398
P32271,7798336942172,open-farma.s3.amazonaws.com/products/40356/large/open-uri20220531-50-co1hox.?1653998033
P5067,3348901332118,open-farma.s3.amazonaws.com/products/14033/large/3348901332118_01.jpg?1570561748
P34992,7798336946569,open-farma.s3.amazonaws.com/products/43691/large/open-uri20221201-7-kxjnj7.?1669909360
P12732,3274872388222,open-farma.s3.amazonaws.com/products/14040/large/3274872388222_01.jpg?1570562219
P7635,3337871323332,open-farma.s3.amazonaws.com/products/150/large/3337871323332.jpg?1543414486
P38356,3337875873086,open-farma.s3.amazonaws.com/products/55596/large/3337875873086.jpg?1721154084
P9329,4211125641092,open-farma.s3.amazonaws.com/products/4609/large/4211125641092.jpg?1547730171
P12850,3600523556069,open-farma.s3.amazonaws.com/products/14594/large/3600523556069_1.jpg?1572729608
P5526,3274872383760,open-farma.s3.amazonaws.com/products/14051/large/3274872383760_01.jpg?1570564740
P12431,3274872384040,open-farma.s3.amazonaws.com/products/14066/large/3274872384040_01.jpg?1570714533
M11097,7793742004865,open-farma.s3.amazonaws.com/products/51936/large/open-uri20231106-6-18cbh0s.?1699274092
P35418,7702010130632,open-farma.s3.amazonaws.com/products/55711/large/open-uri20240729-7-vz6l5s.?1722261397
